,Alveolar epithelial cells (Lung),B Cell,Endothelial Cell,Erythrocytes,Mast Cell,Mesenchymal Stem Cell,Myeloid Cell,Myoblast,Non-malignant mesenchymal/stromal population,Osteoblast (non malignant),Osteoblast_subcluster_0,Osteoblast_subcluster_1,Osteoblast_subcluster_2,Osteoblast_subcluster_3,Osteoblast_subcluster_4,Osteoblast_subcluster_5,Osteoclast,Plasma Cell,Plasmacytoid dendritic cells (pDCs),T/NK Cell
3472,0.042136636,0.013221348,0.04129428,0.014500914,0.017621595,0.13756658,0.047277797,0.061461166,0.05850282,0.044819582,0.20615694,0.29892704,0.29092914,0.21939541,0.21453327,0.38850936,0.17197277,0.106091045,0.02522646,0.01026508
3474,0.13582136,0.0005462779,0.003925269,0.004651806,0.012656373,0.6096294,0.0028213465,0.33012432,0.218188,0.117217295,0.46088195,0.39467347,0.71798664,0.6142747,0.37340918,0.30879158,0.11436034,0.24222337,0.05982417,0.0065787667
3476,0.5118845,0.0004301188,0.031815726,0.010105593,0.005280527,0.094039656,0.00265125,0.4848285,0.044475753,0.04619678,0.122358344,0.16469139,0.4506791,0.0968659,0.09420783,0.044770684,0.01009074,0.0019262743,0.0113916155,9.973177e-05
3478,0.003786812,0.005207218,0.014872246,0.004101131,0.002726492,0.01349692,0.01897948,0.036913104,0.011485681,0.014661082,0.022321599,0.0318012,0.036433734,0.014974388,0.026915777,0.037913803,0.033275895,0.0047069374,0.044337515,0.0016380005
3481,1.4667783,0.010700464,0.109963246,0.0077978508,0.0004571627,0.023950506,7.486932e-05,0.018572241,0.012285772,0.005711596,0.041594025,0.037658043,0.017303525,0.045799784,0.054654017,0.03670321,0.0007766309,0.0007549659,0.005508861,0.0100301895
3486,21.773672,0.0038484954,0.00034828842,0.0049302494,0.0003714231,0.00018811393,7.9285666e-05,0.0109880045,8.212857e-05,0.00024352004,0.00016273082,0.00023781705,0.0010041938,0.00082616357,0.0025158147,0.0013572045,0.00010040411,0.0011199563,0.0027138593,0.0032440904
3488,0.01899679,0.011278936,0.029720433,0.022604177,0.0059401956,0.045231983,0.025013886,0.091628894,0.039589927,0.023302209,0.19522128,0.35499257,0.24903625,0.14978977,0.20354399,0.39464548,0.13360912,0.021668239,0.017850948,0.0070173414
3490,0.24241172,0.00792347,0.12695628,0.014017855,0.014806406,0.13375023,0.14717157,0.2127572,0.085838504,0.06790362,0.25713432,0.4163959,0.33016902,0.21053277,0.30718637,0.33769777,0.3599269,0.015214094,0.10408067,0.009781695
3491,0.26467088,0.000375894,0.0034942508,0.004592051,0.00036374858,0.8516147,0.00017274714,0.010324064,0.07882057,0.019688042,0.015513372,0.021899141,0.0079866145,0.08744091,0.017152011,0.013432514,0.00064193946,0.0007708809,0.0016796882,0.000104265484
3492,0.041821767,0.00041351916,0.00033178873,0.0050433897,0.0020135585,1.511786,4.93691e-05,0.016553724,0.013358649,0.0025227421,0.0016977001,0.0018052217,0.001346984,0.030256374,0.0063174707,0.0020958756,0.000114882874,0.0003177199,0.0016579907,0.00010188732
3493,6.891342,0.034385767,0.0045390814,0.0047310763,0.11056277,0.003534405,0.0040414175,0.010262519,0.00046216382,0.0014323501,0.0022457468,0.005447839,0.01380696,0.005481379,0.008411779,0.007204265,0.052947626,0.011218798,0.051120616,0.0019943449
3494,0.039763406,0.036723338,0.145583,0.006295112,0.02068855,0.10644686,0.037478916,0.045693543,0.033695098,0.027414495,0.09315162,0.13338226,0.120237656,0.09441867,0.13414998,0.151059,0.21770783,0.015043237,0.016075335,0.0059101586
3495,0.101226546,0.074365705,0.07158562,0.017115891,0.029995788,0.08305522,0.039095078,0.32855612,0.047008984,0.029964212,0.22060174,0.33313224,0.31486136,0.18656653,0.23942655,0.41828924,0.48623607,0.043288562,0.034918148,0.017445391
3496,0.004368388,0.0023911337,0.081838846,0.0948716,0.0124724265,2.4850268,0.0029217794,0.15399462,0.38656604,0.4025239,2.0484567,1.0177959,1.4057076,5.1152654,2.0403364,0.6967742,0.013189532,0.0038637328,0.0017152136,0.014754651
3498,0.12512644,0.036166664,0.096144006,0.017081667,0.011892017,0.09389725,0.05256705,0.13125885,0.055830993,0.04346743,0.17863193,0.3035203,0.19830708,0.09012613,0.18189107,0.2909679,0.1707682,0.016582979,0.062303506,0.012145214
3499,0.008681395,0.07101624,0.004485327,0.02097326,0.03328248,0.0067263967,0.17369054,0.016549598,0.023215631,0.014193526,0.04184002,0.040761422,0.02269976,0.03240935,0.08316807,0.028421566,0.31292978,0.012992871,0.046542186,0.048764475
3500,0.3093774,0.0007930168,0.0001594207,0.0076508336,0.00067116466,0.00019623488,3.2745527e-05,0.006290558,0.0003261902,0.00025417397,0.00027519997,0.00019251373,0.0004921475,0.00092755456,0.001642083,0.0052488153,0.027465813,0.0011255442,0.006831691,4.5948847e-05
3501,0.0018725217,0.0008126635,0.00026581713,0.004825685,0.00031235424,0.00019392109,6.467649e-05,0.009428919,0.00021369521,0.0007672557,0.0013016495,0.00078838965,0.000750451,0.0025752264,0.0058599617,0.0041015064,0.08465007,0.00029458996,0.0036392403,3.8103077e-05
3502,0.036819167,0.0021159167,0.0017964785,0.0060297335,0.00036137813,0.07610569,0.0004473604,0.020431865,0.05699661,0.037611555,0.15190354,0.16156209,0.16246471,0.11652133,0.14730713,0.100309424,0.0023015977,0.010212086,0.0035711543,0.0011416373
3504,0.0064831744,0.018609006,0.016218407,0.007606964,0.00088191533,0.028666878,0.016792275,0.03629015,0.011054076,0.0099280095,0.040698845,0.051462024,0.03766626,0.040332228,0.044898935,0.04272092,0.035395537,0.044738818,0.033047322,0.0050374675
3505,15.709338,0.026172766,0.0002151637,0.0050872196,0.0003599817,0.18007036,4.356773e-05,0.057221197,0.0019255677,0.0013436286,0.0070242286,0.0019679263,0.003904978,0.000746165,0.008279566,0.011697745,0.00011468063,0.0325968,0.0030620259,0.00021301223
3506,28.009329,0.009079155,0.00014366327,0.004660699,0.00034980098,0.024460929,2.1340307e-05,0.028144207,0.00039147414,0.00083037454,0.0010263689,0.00040423515,0.0011559764,0.0010172186,0.0016696325,0.0017670076,5.6080116e-05,0.0037296743,0.0014510939,3.976969e-05
3508,0.4553453,0.05753036,0.13963309,0.03132779,0.05502291,0.26862696,0.11903761,0.23853967,0.11472704,0.08604298,0.51427567,0.76252985,0.7791299,0.38438994,0.4860198,0.9319872,0.3535362,0.13654463,0.08185046,0.04400264
3510,4.958463,0.0043106982,0.08238221,0.006210425,0.0007701555,0.06537532,0.097878106,0.111977875,0.01878728,0.014417267,0.05494885,0.10368812,0.08787227,0.03465885,0.105804965,0.10656823,0.109340765,0.0021793284,0.011084958,0.004861068
3511,0.61060035,0.65838283,0.39075476,0.99396485,0.5921793,0.5674373,0.00021044747,0.9768894,0.0020948185,0.16525532,0.000709526,0.15406674,0.51363313,0.71968675,0.86344063,0.9456912,0.015531959,0.5857882,0.879763,0.0028775611
